event_id,account_id,user_id,event_name,event_timestamp,properties
EVT-00088654,ACC-0127,ACC-0127-U04,task_completed,2023-01-09T00:37:01,
EVT-00088651,ACC-0127,ACC-0127-U06,user_invited,2023-01-09T12:09:29,
EVT-00088670,ACC-0127,ACC-0127-U02,export_generated,2023-01-13T06:05:59,
EVT-00088672,ACC-0127,ACC-0127-U03,search_performed,2023-01-13T12:13:34,
EVT-00088660,ACC-0127,ACC-0127-U06,deal_updated,2023-01-13T15:16:24,
EVT-00088675,ACC-0127,ACC-0127-U05,task_completed,2023-01-13T17:57:53,
EVT-00088661,ACC-0127,ACC-0127-U01,report_created,2023-01-13T18:39:40,
EVT-00088662,ACC-0127,ACC-0127-U02,dashboard_viewed,2023-01-13T20:32:46,
EVT-00088678,ACC-0127,ACC-0127-U04,search_performed,2023-01-20T00:01:35,
EVT-00088691,ACC-0127,ACC-0127-U01,contact_added,2023-01-20T05:25:25,
EVT-00088689,ACC-0127,ACC-0127-U03,contact_added,2023-01-20T11:22:52,
EVT-00088679,ACC-0127,ACC-0127-U03,email_sent,2023-01-20T15:50:13,
EVT-00088694,ACC-0127,ACC-0127-U01,report_created,2023-01-20T16:00:10,
EVT-00088704,ACC-0127,ACC-0127-U01,contact_added,2023-01-23T12:18:45,
EVT-00088699,ACC-0127,ACC-0127-U06,dashboard_viewed,2023-01-23T15:58:07,
EVT-00001455,ACC-0004,ACC-0004-U02,search_performed,2023-01-25T10:56:38,
EVT-00088718,ACC-0127,ACC-0127-U01,dashboard_viewed,2023-01-25T14:41:23,
EVT-00088732,ACC-0127,ACC-0127-U01,deal_updated,2023-01-25T15:08:35,
EVT-00105999,ACC-0148,ACC-0148-U01,note_added,2023-01-26T07:36:06,
EVT-00104599,ACC-0145,ACC-0145-U03,meeting_logged,2023-01-26T11:35:06,
EVT-00105997,ACC-0148,ACC-0148-U01,task_completed,2023-01-26T16:01:11,
EVT-00086524,ACC-0123,ACC-0123-U02,export_generated,2023-01-26T18:07:55,
EVT-00106000,ACC-0148,ACC-0148-U01,filter_applied,2023-01-26T23:01:17,
EVT-00088747,ACC-0127,ACC-0127-U03,api_call,2023-01-27T05:43:00,
EVT-00088742,ACC-0127,ACC-0127-U07,report_created,2023-01-27T16:23:03,
EVT-00088749,ACC-0127,ACC-0127-U06,contact_added,2023-01-27T21:21:23,
EVT-00088762,ACC-0127,ACC-0127-U03,dashboard_viewed,2023-01-28T07:20:45,
EVT-00088767,ACC-0127,ACC-0127-U06,api_call,2023-01-28T12:52:58,
EVT-00088769,ACC-0127,ACC-0127-U03,api_call,2023-01-28T16:48:18,
EVT-00088759,ACC-0127,ACC-0127-U04,deal_updated,2023-01-28T16:54:46,
EVT-00001460,ACC-0004,ACC-0004-U03,search_performed,2023-01-29T06:06:08,
EVT-00001457,ACC-0004,ACC-0004-U02,deal_updated,2023-01-29T09:18:22,
EVT-00088794,ACC-0127,ACC-0127-U02,dashboard_viewed,2023-01-30T10:41:36,
EVT-00088797,ACC-0127,ACC-0127-U01,email_sent,2023-01-30T15:07:54,
EVT-00088787,ACC-0127,ACC-0127-U05,dashboard_viewed,2023-01-30T23:20:20,
EVT-00074818,ACC-0106,ACC-0106-U03,meeting_logged,2023-02-01T03:23:13,
EVT-00074824,ACC-0106,ACC-0106-U01,email_sent,2023-02-01T08:17:35,
EVT-00088811,ACC-0127,ACC-0127-U01,contact_added,2023-02-04T07:09:49,
EVT-00106018,ACC-0148,ACC-0148-U01,dashboard_viewed,2023-02-04T09:26:34,
EVT-00088806,ACC-0127,ACC-0127-U06,contact_added,2023-02-04T10:15:46,
EVT-00059168,ACC-0086,ACC-0086-U02,contact_added,2023-02-04T19:39:26,
EVT-00106022,ACC-0148,ACC-0148-U01,contact_added,2023-02-05T11:35:09,
EVT-00106021,ACC-0148,ACC-0148-U01,meeting_logged,2023-02-05T16:34:49,
EVT-00074855,ACC-0106,ACC-0106-U07,report_created,2023-02-06T01:00:00,
EVT-00074850,ACC-0106,ACC-0106-U06,integration_configured,2023-02-06T03:39:34,
